subject,type,level3_plus_22_23,level3_plus_23_24,level3_plus_change,school_name
ELA,Elementary,0.3785593176262548,0.352140734949179,-2.6418582677075753,District Average
Math,Elementary,0.29417315859409604,0.2944560707669024,0.028291217280634884,District Average
ELA,Elementary,0.21741935483870967,0.126751269035533,-9.066808580317668,LOCKHART ELEMENTARY MAGNET SCHOOL
ELA,Elementary,0.17866666666666664,0.09407643312101911,-8.459023354564753,KIMBELL ELEMENTARY SCHOOL
ELA,Elementary,0.16128205128205128,0.08784810126582279,-7.343395001622849,TWIN LAKES ELEMENTARY SCHOOL
Math,Elementary,0.23130177514792902,0.16006944444444443,-7.1232330703484585,OAK PARK ELEMENTARY SCHOOL
ELA,Elementary,0.14833333333333334,0.08890909090909091,-5.942424242424243,BROWARD ELEMENTARY SCHOOL
ELA,Elementary,0.19823788546255505,0.13888324873096447,-5.935463673159058,JACKSON ELEMENTARY SCHOOL
Math,Elementary,0.12294117647058825,0.06402173913043478,-5.891943734015347,KENLY ELEMENTARY SCHOOL
ELA,Elementary,0.19605263157894737,0.13748936170212767,-5.85632698768197,IPPOLITO ELEMENTARY SCHOOL
Math,Elementary,0.12844036697247704,0.07357142857142858,-5.486893840104846,GRAHAM ELEMENTARY SCHOOL
ELA,Elementary,0.18953488372093022,0.1355497382198953,-5.398514550103492,KINGSWOOD ELEMENTARY SCHOOL
ELA,Elementary,0.19883040935672514,0.14652777777777778,-5.230263157894735,OAK PARK ELEMENTARY SCHOOL
ELA,Elementary,0.21260869565217394,0.1619496855345912,-5.0659010117582755,BURNEY ELEMENTARY SCHOOL
ELA,Elementary,0.13807017543859648,0.10035971223021582,-3.771046320838066,JAMES ELEMENTARY SCHOOL
ELA,Elementary,0.23153094462540721,0.19455445544554456,-3.6976489179862653,YATES ELEMENTARY SCHOOL
Math,Elementary,0.138141592920354,0.10440251572327044,-3.373907719708355,MILES ELEMENTARY SCHOOL
ELA,Elementary,0.13257142857142856,0.10380681818181818,-2.8764610389610383,SHEEHY ELEMENTARY SCHOOL
ELA,Elementary,0.14685294117647057,0.11830188679245282,-2.8551054384017753,MILES ELEMENTARY SCHOOL
Math,Elementary,0.15008849557522125,0.1252136752136752,-2.4874820361546037,IPPOLITO ELEMENTARY SCHOOL
Math,Elementary,0.1365625,0.11790909090909092,-1.865340909090908,BROWARD ELEMENTARY SCHOOL
Math,Elementary,0.14142857142857143,0.12511627906976744,-1.6312292358803993,WIMAUMA ELEMENTARY SCHOOL
ELA,Elementary,0.1051383399209486,0.09026022304832715,-1.4878116872621459,ROBLES ELEMENTARY SCHOOL
Math,Elementary,0.09875000000000002,0.08435185185185184,-1.4398148148148173,EDISON ELEMENTARY SCHOOL
Math,Elementary,0.07624161073825504,0.06267515923566878,-1.3566451502586259,KIMBELL ELEMENTARY SCHOOL
Math,Elementary,0.1149570200573066,0.1031117824773414,-1.1845237579965195,RUSKIN ELEMENTARY SCHOOL
Math,Elementary,0.14153094462540716,0.1318811881188119,-0.9649756506595275,YATES ELEMENTARY SCHOOL
Math,Elementary,0.08210526315789474,0.0731,-0.9005263157894738,JACKSON ELEMENTARY SCHOOL
