district_number,district_name,school_number,school_name,grade,number_of_students,mean_scale_score,percentage_in_level_3_or_above,x1,x2,x3,x4,x5
00,STATE TOTALS,0000,GRADE 03,03,221011,300,59,24,17,25,23,11
01,ALACHUA,0031,CAROLYN BEATRICE PARKER ELEMENTARY,03,100,292,42,36,22,23,11,8
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHL,03,80,297,46,35,19,13,21,13
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,03,53,287,40,42,19,28,9,2
01,ALACHUA,0081,SIDNEY LANIER CENTER,03,10,NA,0,NA,NA,NA,NA,NA
01,ALACHUA,0082,HOSPITAL HOMEBOUND,03,4,NA,NA,NA,NA,NA,NA,NA
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,03,111,304,65,15,20,23,23,18
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHOOL,03,82,279,20,54,27,13,5,1
01,ALACHUA,0111,JOSEPH WILLIAMS ELEM. SCHOOL,03,88,289,38,55,8,8,13,17
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,03,117,293,47,33,20,27,15,4
01,ALACHUA,0171,ARCHER ELEMENTARY,03,93,302,58,23,19,19,23,16
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,03,61,282,36,54,10,26,8,2
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,03,96,288,35,36,28,19,7,9
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,03,104,282,24,54,22,16,6,2
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,03,74,296,59,24,16,34,16,9
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,03,87,275,17,60,23,10,6,1
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,03,108,304,72,12,16,31,31,10
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,03,139,299,56,22,22,30,17,9
01,ALACHUA,0501,KIMBALL WILES ELEM. SCHOOL,03,153,302,65,25,10,24,25,15
01,ALACHUA,0510,LAWTON M. CHILES ELEM. SCHOOL,03,129,310,79,16,5,32,27,20
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,03,160,307,69,19,13,25,27,17
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,03,148,288,41,41,18,22,18,1
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,03,112,288,40,41,19,23,12,5
01,ALACHUA,0561,WILLIAM S. TALBOT ELEM SCHOOL,03,73,304,70,12,18,34,23,12
01,ALACHUA,0950,THE ONE ROOM SCHOOL HOUSE PROJECT,03,23,302,65,22,13,26,35,4
01,ALACHUA,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",03,35,309,71,11,17,26,26,20
01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,03,43,311,79,2,19,30,33,16
01,ALACHUA,0955,"THE EINSTEIN SCHOOL, INC.",03,14,272,0,71,29,0,0,0
01,ALACHUA,0956,EXPRESSIONS LEARNING ARTS ACAD,03,15,303,60,20,20,33,13,13
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,03,18,311,94,0,6,50,39,6
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,03,17,300,71,18,12,47,18,6
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,03,19,310,84,11,5,47,21,16
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),03,5,NA,NA,NA,NA,NA,NA,NA
02,BAKER,0013,MACCLENNY ELEMENTARY SCHOOL,03,198,310,85,5,10,38,32,14
02,BAKER,0091,WESTSIDE ELEMENTARY SCHOOL,03,174,302,64,16,20,30,26,7
03,BAY,0081,HUTCHISON BEACH ELEMENTARY SCHOOL,03,111,292,44,30,26,26,15,3
03,BAY,0091,CEDAR GROVE ELEMENTARY SCHOOL,03,117,279,25,57,18,20,5,0
03,BAY,0101,CALLAWAY ELEMENTARY SCHOOL,03,102,297,52,21,27,26,21,5
03,BAY,0111,MERRIAM CHERRY STREET ELEM.,03,76,287,32,41,28,18,11,3
03,BAY,0131,LUCILLE MOORE ELEMENTARY SCHL,03,95,292,51,33,17,35,13,3
03,BAY,0151,HILAND PARK ELEMENTARY SCHOOL,03,92,292,43,34,23,27,11,5
03,BAY,0171,LYNN HAVEN ELEMENTARY SCHOOL,03,104,296,48,27,25,29,13,6
03,BAY,0211,PARKER ELEMENTARY SCHOOL,03,89,287,34,46,20,25,6,3
03,BAY,0221,SOUTHPORT ELEMENTARY SCHOOL,03,79,303,70,11,19,38,27,5
03,BAY,0241,ST. ANDREW SCHOOL AT OAKLAND TERRACE,03,13,273,8,62,31,0,8,0
03,BAY,0251,WALLER ELEMENTARY SCHOOL,03,75,292,40,27,33,28,8,4
03,BAY,0262,WEST BAY ELEMENTARY SCHOOL,03,59,296,46,22,32,29,14,3
03,BAY,0461,DEER POINT ELEMENTARY SCHOOL,03,112,296,53,25,22,29,17,6
03,BAY,0471,NORTHSIDE ELEMENTARY SCHOOL,03,111,290,45,36,19,24,17,4
03,BAY,0501,TYNDALL ACADEMY,03,103,296,51,26,22,28,16,8
03,BAY,0511,TOMMY SMITH ELEMENTARY SCHOOL,03,121,295,53,30,17,30,19,4
03,BAY,0521,PATRONIS ELEMENTARY SCHOOL,03,105,309,71,8,21,27,28,17
03,BAY,0541,DEANE BOZEMAN SCHOOL,03,72,303,65,18,17,31,24,11
03,BAY,0571,BREAKFAST POINT ACADEMY,03,109,301,66,20,14,36,17,13
03,BAY,0611,A. GARY WALSINGHAM ACADEMY,03,34,300,50,12,38,24,18,9
03,BAY,0701,BAY HAVEN CHARTER ACADEMY,03,125,309,77,6,18,27,41,9
03,BAY,0751,NORTH BAY HAVEN CHARTER ACADEMY ELEM SCHOOL,03,108,317,85,4,11,21,36,28
03,BAY,0801,PALM BAY ELEMENTARY SCHOOL,03,55,301,56,16,27,27,16,13
03,BAY,2701,RISING LEADERS ACADEMY,03,34,308,71,12,18,26,26,18
03,BAY,2711,UNIVERSITY ACADEMY SABL INC,03,80,318,91,0,9,23,46,23
03,BAY,7001,BAY VIRTUAL INSTRUCTION PROGRAM,03,1,NA,NA,NA,NA,NA,NA,NA
03,BAY,7004,BAY VIRTUAL FRANCHISE,03,5,NA,NA,NA,NA,NA,NA,NA
04,BRADFORD,0051,STARKE ELEMENTARY SCHOOL,03,77,297,55,23,22,30,21,4
04,BRADFORD,0081,SOUTHSIDE ELEMENTARY SCHOOL,03,107,292,43,36,21,21,18,5
04,BRADFORD,0131,LAWTEY ELEMENTARY SCHOOL,03,46,306,65,20,15,13,30,22
04,BRADFORD,7023,BRADFORD VIRTUAL INSTRUC (DISTRICT PROVIDED),03,1,NA,NA,NA,NA,NA,NA,NA
05,BREVARD,0051,OAK PARK ELEMENTARY SCHOOL,03,54,280,31,52,17,17,15,0
05,BREVARD,0061,APOLLO ELEMENTARY SCHOOL,03,106,282,25,52,23,17,8,1
05,BREVARD,0089,GARDENDALE SEPARATE DAY SCHOOL,03,3,NA,NA,NA,NA,NA,NA,NA
05,BREVARD,0091,COQUINA ELEMENTARY SCHOOL,03,61,290,38,33,30,21,10,7
05,BREVARD,0101,MIMS ELEMENTARY SCHOOL,03,80,283,23,44,34,14,8,1
05,BREVARD,0122,SOUTH LAKE ELEMENTARY,03,54,312,93,4,4,41,39,13
05,BREVARD,0151,IMPERIAL ESTATES ELEM. SCHOOL,03,80,299,60,24,16,29,23,9
05,BREVARD,0181,PINEWOOD ELEMENTARY SCHOOL,03,60,296,55,28,17,28,23,3
05,BREVARD,0191,CHALLENGER 7 ELEMENTARY SCHOOL,03,75,299,57,20,23,31,23,4
05,BREVARD,0201,ATLANTIS ELEMENTARY SCHOOL,03,98,301,63,19,17,33,24,6
05,BREVARD,0301,ENTERPRISE ELEMENTARY SCHOOL,03,79,309,77,10,13,27,33,18
05,BREVARD,1028,DEVEREUX HOSPITAL,03,4,NA,NA,NA,NA,NA,NA,NA
05,BREVARD,1041,CAMBRIDGE ELEM MAGNET SCHOOL,03,63,284,32,43,25,21,10,2
05,BREVARD,1051,ENDEAVOUR ELEMENTARY SCHOOL,03,101,281,26,50,24,15,9,2
05,BREVARD,1071,GOLFVIEW ELEMENTARY MAGNET SCHOOL,03,69,288,42,41,17,29,12,1
05,BREVARD,1091,FAIRGLEN ELEMENTARY SCHOOL,03,71,285,27,48,25,13,13,1
05,BREVARD,1131,SATURN ELEMENTARY SCHOOL,03,90,281,27,52,21,17,10,0
05,BREVARD,1141,HANS CHRISTIAN ANDERSEN ELEMENTARY SCHOOL,03,87,298,55,24,21,24,28,3
05,BREVARD,1151,RALPH M WILLIAMS JUNIOR ELEMENTARY SCHOOL,03,54,296,46,24,30,24,17,6
05,BREVARD,1161,MANATEE ELEMENTARY SCHOOL,03,127,315,85,9,6,20,39,26
05,BREVARD,2031,MEADOWLANE INTERMEDIATE ELEMENTARY SCHOOL,03,217,303,64,16,21,24,24,16
05,BREVARD,2042,W. MELBOURNE ELEMENTARY SCHOOL FOR SCIENCE,03,71,319,90,4,6,23,34,34
05,BREVARD,2051,UNIVERSITY PARK ELEMENTARY SCHOOL,03,63,284,37,41,22,21,11,5
05,BREVARD,2061,PORT MALABAR ELEMENTARY SCHOOL,03,77,298,58,21,21,30,18,10
05,BREVARD,2081,PALM BAY ELEMENTARY SCHOOL,03,67,291,34,37,28,12,21,1
05,BREVARD,2111,LOCKMAR ELEMENTARY SCHOOL,03,67,299,60,24,16,30,18,12
05,BREVARD,2121,"JOHN F. TURNER, SENIOR ELEMENTARY SCHOOL",03,69,292,45,36,19,28,14,3
05,BREVARD,2131,COLUMBIA ELEMENTARY SCHOOL,03,59,292,41,22,37,27,14,0
05,BREVARD,2151,DISCOVERY ELEMENTARY SCHOOL,03,100,290,40,33,27,31,6,3
05,BREVARD,2161,CHRISTA MCAULIFFE ELEM. SCHOOL,03,87,303,67,17,16,29,28,10
05,BREVARD,2171,RIVIERA ELEMENTARY SCHOOL,03,86,300,58,21,21,27,24,7
05,BREVARD,2191,JUPITER ELEMENTARY SCHOOL,03,117,295,49,30,21,25,17,7
05,BREVARD,2212,WESTSIDE ELEMENTARY SCHOOL,03,116,299,57,18,25,33,16,9
05,BREVARD,2221,SUNRISE ELEMENTARY SCHOOL,03,97,300,64,16,20,32,25,7
05,BREVARD,3041,SHERWOOD ELEMENTARY SCHOOL,03,75,304,69,13,17,28,24,17
05,BREVARD,3061,HARBOR CITY ELEMENTARY SCHOOL,03,47,296,49,23,28,23,19,6
05,BREVARD,3071,SABAL ELEMENTARY SCHOOL,03,64,296,53,25,22,23,22,8
05,BREVARD,3091,CROTON ELEMENTARY SCHOOL,03,62,296,55,31,15,23,21,11
05,BREVARD,3101,ROY ALLEN ELEMENTARY SCHOOL,03,93,304,68,15,17,26,33,9
05,BREVARD,3121,SUNTREE ELEMENTARY SCHOOL,03,90,312,87,8,6,30,40,17
05,BREVARD,3131,LONGLEAF ELEMENTARY SCHOOL,03,83,312,82,4,14,30,33,19
05,BREVARD,3151,QUEST ELEMENTARY SCHOOL,03,134,305,67,16,17,24,26,17
05,BREVARD,3161,VIERA ELEMENTARY SCHOOL,03,92,319,91,3,5,18,45,28
05,BREVARD,4031,MILA ELEMENTARY SCHOOL,03,49,286,37,45,18,24,10,2
05,BREVARD,4041,TROPICAL ELEMENTARY SCHOOL,03,94,300,61,18,21,31,24,5
05,BREVARD,4051,AUDUBON ELEMENTARY SCHOOL,03,53,303,66,17,17,36,13,17
05,BREVARD,4071,ROBERT L. STEVENSON ELEMENTARY SCHOOL,03,70,312,84,1,14,30,40,14
05,BREVARD,4121,LEWIS CARROLL ELEMENTARY SCHL,03,82,312,78,10,12,29,20,29
05,BREVARD,5012,THEODORE ROOSEVELT ELEMENTARY SCHOOL,03,45,302,60,13,27,22,31,7
05,BREVARD,5021,FREEDOM 7 ELEMENTARY SCHOOL INTERNATIONAL,03,55,324,95,0,5,15,36,44
05,BREVARD,5031,CAPE VIEW ELEMENTARY SCHOOL,03,41,295,46,20,34,24,20,2
05,BREVARD,6013,SPESSARD L. HOLLAND ELEMENTARY,03,53,312,77,13,9,21,26,30
05,BREVARD,6051,SEA PARK ELEMENTARY SCHOOL,03,39,308,77,13,10,26,36,15
05,BREVARD,6061,SURFSIDE ELEMENTARY SCHOOL,03,53,306,74,9,17,32,28,13
05,BREVARD,6071,OCEAN BREEZE ELEMENTARY SCHOOL,03,83,310,81,5,14,27,39,16
05,BREVARD,6081,INDIALANTIC ELEMENTARY SCHOOL,03,85,312,75,7,18,16,36,22
05,BREVARD,6101,GEMINI ELEMENTARY SCHOOL,03,78,314,88,3,9,29,40,19
05,BREVARD,6141,DR. W.J. CREEL ELEMENTARY SCHL,03,80,284,29,45,26,19,8,3
05,BREVARD,6501,PALM BAY ACADEMY CHARTER SCHOOL,03,37,288,32,41,27,27,5,0
05,BREVARD,6507,ODYSSEY CHARTER SCHOOL,03,130,307,74,10,16,27,34,13
05,BREVARD,6508,SCULPTOR CHARTER SCHOOL,03,57,299,63,14,23,40,18,5
05,BREVARD,6509,ROYAL PALM CHARTER SCHOOL,03,35,296,51,17,31,34,14,3
05,BREVARD,6511,EDUCATIONAL HORIZONS CHARTER,03,19,317,95,0,5,32,47,16
05,BREVARD,6515,IMAGINE SCHOOLS AT WEST MELBOURNE,03,98,300,55,17,28,29,24,2
05,BREVARD,6523,EMMA JEWEL CHARTER ACADEMY,03,39,290,38,33,28,31,3,5
05,BREVARD,6529,PINEAPPLE COVE CLASSICAL ACADEMY AT LOCKMAR,03,86,311,83,9,8,26,40,17
05,BREVARD,6540,VIERA CHARTER SCHOOL,03,156,312,83,6,11,29,35,19
05,BREVARD,6541,ODYSSEY PREPARATORY CHARTER ACADEMY,03,68,303,65,13,22,40,13,12
05,BREVARD,6543,PINEAPPLE COVE CLASSICAL ACADEMY,03,72,306,85,3,13,50,31,4
05,BREVARD,6554,PINEAPPLE COVE CLASSICAL ACADEMY W MELBOURNE,03,87,296,48,16,36,29,17,2
05,BREVARD,6558,PINECREST ACADEMY SPACE COAST,03,62,307,73,13,15,31,29,13
05,BREVARD,7004,BREVARD VIRTUAL FRANCHISE,03,4,NA,NA,NA,NA,NA,NA,NA
06,BROWARD,0011,DEERFIELD BEACH ELEMENTARY SCHOOL,03,105,296,46,24,30,20,20,6
06,BROWARD,0031,OAKLAND PARK ELEMENTARY SCHOOL,03,72,286,39,42,19,31,4,4
06,BROWARD,0041,NORTH SIDE ELEMENTARY SCHOOL,03,56,284,39,41,20,27,11,2
06,BROWARD,0100,HOSPITAL HOMEBOUND SERVICES,03,3,NA,NA,NA,NA,NA,NA,NA
06,BROWARD,0101,DANIA ELEMENTARY SCHOOL,03,81,296,54,25,21,25,23,6
06,BROWARD,0111,HOLLYWOOD HILLS ELEM. SCHOOL,03,129,305,72,12,16,28,31,13
06,BROWARD,0121,HOLLYWOOD CENTRAL ELEM. SCHOOL,03,66,298,56,32,12,26,20,11
06,BROWARD,0131,GULFSTREAM ACADEMY OF HALLANDALE BEACH,03,124,297,53,28,19,20,23,10
06,BROWARD,0151,RIVERLAND ELEMENTARY SCHOOL,03,101,287,40,44,17,22,17,1
06,BROWARD,0161,WEST HOLLYWOOD ELEMENTARY SCHOOL,03,83,296,53,27,20,19,27,7
06,BROWARD,0191,WILTON MANORS ELEMENTARY SCHOOL,03,88,301,60,24,16,17,30,14
06,BROWARD,0201,BENNETT ELEMENTARY SCHOOL,03,45,282,18,58,24,7,7,4
06,BROWARD,0221,CROISSANT PARK ELEMENTARY SCHOOL,03,120,295,55,33,13,19,28,8
06,BROWARD,0231,COLBERT ELEMENTARY SCHOOL,03,108,286,42,42,17,27,12,3
06,BROWARD,0271,DILLARD ELEMENTARY SCHOOL,03,109,286,39,39,21,28,11,0
06,BROWARD,0321,WALKER ELEMENTARY SCHOOL,03,92,286,34,46,21,20,12,2
06,BROWARD,0331,COLLINS ELEMENTARY SCHOOL,03,45,296,56,36,9,27,13,16
06,BROWARD,0341,MARY M BETHUNE ELEMENTARY SCHOOL,03,78,291,41,41,18,12,15,14
06,BROWARD,0391,DEERFIELD PARK ELEMENTARY SCHL,03,86,290,44,36,20,22,21,1
06,BROWARD,0461,OAKRIDGE ELEMENTARY SCHOOL,03,87,283,29,51,21,20,8,1
06,BROWARD,0491,HARBORDALE ELEMENTARY SCHOOL,03,99,310,78,8,14,29,29,19
06,BROWARD,0501,BROWARD ESTATES ELEMENTARY SCHOOL,03,56,287,41,34,25,34,4,4
06,BROWARD,0511,WATKINS ELEMENTARY SCHOOL,03,79,283,27,47,27,16,8,3
06,BROWARD,0521,NORTH ANDREWS GARDENS ELEM.,03,147,295,58,29,14,29,22,6
06,BROWARD,0531,MIRAMAR ELEMENTARY SCHOOL,03,67,288,45,40,15,34,7,3
06,BROWARD,0561,NORCREST ELEMENTARY SCHOOL,03,118,289,40,39,21,14,19,7
06,BROWARD,0571,TEDDER ELEMENTARY SCHOOL,03,91,288,40,40,21,21,18,1
06,BROWARD,0611,SUNLAND PARK ACADEMY,03,75,292,48,43,9,19,24,5
06,BROWARD,0621,LARKDALE ELEMENTARY SCHOOL,03,66,295,53,30,17,26,17,11
06,BROWARD,0631,WESTWOOD HEIGHTS ELEMENTARY,03,67,292,54,33,13,25,22,6
06,BROWARD,0641,BAYVIEW ELEMENTARY SCHOOL,03,96,315,91,5,4,23,44,24
06,BROWARD,0653,PINE RIDGE ALTERNATIVE CENTER,03,3,NA,NA,NA,NA,NA,NA,NA
06,BROWARD,0691,STIRLING ELEMENTARY SCHOOL,03,96,288,38,44,19,17,11,9
06,BROWARD,0701,PARKWAY MIDDLE SCHOOL,03,9,NA,NA,NA,NA,NA,NA,NA
06,BROWARD,0711,ORANGE BROOK ELEMENTARY SCHOOL,03,132,294,49,30,21,31,14,5
06,BROWARD,0721,DRIFTWOOD ELEMENTARY SCHOOL,03,78,291,45,33,22,23,17,5
06,BROWARD,0731,TROPICAL ELEMENTARY SCHOOL,03,148,306,70,18,12,24,29,16
06,BROWARD,0751,POMPANO BEACH ELEMENTARY SCHOOL,03,99,293,53,32,15,29,20,3
06,BROWARD,0761,MEADOWBROOK ELEMENTARY SCHOOL,03,128,283,32,46,22,20,7,5
06,BROWARD,0811,BROADVIEW ELEMENTARY SCHOOL,03,119,289,42,43,15,31,6,5
06,BROWARD,0831,LAKE FOREST ELEMENTARY SCHOOL,03,94,290,45,35,20,27,14,4
06,BROWARD,0841,MCNAB ELEMENTARY SCHOOL,03,108,303,66,20,14,27,24,15
06,BROWARD,0851,FLORANADA ELEMENTARY SCHOOL,03,119,311,81,8,11,25,39,17
06,BROWARD,0891,SANDERS PARK ELEMENTARY SCHOOL,03,69,295,46,30,23,20,19,7
06,BROWARD,0901,CRESTHAVEN ELEMENTARY SCHOOL,03,70,304,69,17,14,27,29,13
06,BROWARD,0921,STEPHEN FOSTER ELEMENTARY SCHL,03,113,302,58,21,20,18,26,15
06,BROWARD,0931,PETERS ELEMENTARY SCHOOL,03,84,298,67,27,6,33,21,12
06,BROWARD,0941,PLANTATION ELEMENTARY SCHOOL,03,74,285,34,47,19,18,15,1
06,BROWARD,0971,BOULEVARD HEIGHTS ELEMENTARY,03,97,296,62,23,15,36,23,3
06,BROWARD,1091,LLOYD ESTATES ELEMENTARY SCHL,03,87,294,53,31,16,31,18,3
06,BROWARD,1131,PALMVIEW ELEMENTARY SCHOOL,03,85,302,61,18,21,22,25,14
06,BROWARD,1161,MARGATE ELEMENTARY SCHOOL,03,137,293,49,33,18,24,18,7
06,BROWARD,1171,SUNSHINE ELEMENTARY SCHOOL,03,84,297,51,29,20,23,18,11
06,BROWARD,1191,NORTH FORK ELEMENTARY SCHOOL,03,56,293,46,32,21,27,18,2
06,BROWARD,1211,COOPER CITY ELEMENTARY SCHOOL,03,119,310,77,10,13,27,34,17
06,BROWARD,1221,PEMBROKE PINES ELEMENTARY SCHL,03,116,294,49,30,21,27,16,6
06,BROWARD,1251,PLANTATION PARK ELEMENTARY,03,97,306,71,10,19,34,24,13
06,BROWARD,1271,NOVA DWIGHT D. EISENHOWER ELEM,03,118,305,66,16,18,28,28,10
06,BROWARD,1282,NOVA BLANCHE FORMAN ELEMENTARY,03,122,301,54,19,27,27,16,11
06,BROWARD,1321,SHERIDAN PARK ELEMENTARY SCHL,03,72,301,65,19,15,36,21,8
06,BROWARD,1381,LAUDERHILL PAUL TURNER ELEM.,03,86,292,50,33,17,23,22,5
06,BROWARD,1421,COCONUT CREEK ELEMENTARY SCHL,03,107,288,37,43,20,19,13,6
06,BROWARD,1461,CASTLE HILL ELEMENTARY SCHOOL,03,106,289,39,44,17,23,12,4
06,BROWARD,1611,"DR.MARTIN LUTHER KING, JR. MONTESSORI ACADEMY",03,61,303,70,18,11,23,43,5
06,BROWARD,1621,VILLAGE ELEMENTARY SCHOOL,03,88,299,51,30,19,10,24,17
06,BROWARD,1631,ANNABEL C. PERRY PK-8,03,69,293,42,25,33,22,12,9
06,BROWARD,1641,FAIRWAY ELEMENTARY SCHOOL,03,86,300,64,24,12,23,30,10
06,BROWARD,1671,ROBERT C. MARKHAM ELEMENTARY,03,87,286,36,41,23,18,14,3
06,BROWARD,1752,WHISPERING PINES EXCEPTIONAL EDUCATION CENTER,03,10,264,10,90,0,10,0,0
06,BROWARD,1761,HOLLYWOOD PARK ELEMENTARY SCHOOL,03,55,310,80,11,9,24,35,22
06,BROWARD,1781,CYPRESS ELEMENTARY SCHOOL,03,112,287,35,43,22,21,8,6
06,BROWARD,1811,SHERIDAN HILLS ELEMENTARY SCHL,03,86,298,59,23,17,28,23,8
06,BROWARD,1831,ORIOLE ELEMENTARY SCHOOL,03,97,293,44,29,27,22,15,7
06,BROWARD,1841,MIRROR LAKE ELEMENTARY SCHOOL,03,101,297,53,25,22,24,21,9
06,BROWARD,1851,ROYAL PALM ELEMENTARY SCHOOL,03,96,283,32,48,20,18,13,2
06,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,03,119,285,33,47,20,22,9,2
06,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOOL,03,82,293,50,33,17,28,15,7
06,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,03,78,294,49,33,18,23,21,5
06,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,03,96,301,64,24,13,21,30,13
06,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,03,71,319,87,6,7,17,30,41
06,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHL,03,96,292,50,32,18,18,28,4
06,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY SCHOOL,03,105,290,50,36,14,29,17,4
06,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHL,03,81,295,46,32,22,19,21,6
06,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,03,88,296,53,32,15,19,26,8
06,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,03,108,302,58,24,18,27,13,19
06,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHOOL,03,84,289,33,46,20,17,11,6
06,BROWARD,2621,TAMARAC ELEMENTARY SCHOOL,03,117,292,50,32,19,30,15,4
06,BROWARD,2631,FOREST HILLS ELEMENTARY SCHOOL,03,111,302,59,27,14,17,25,17
06,BROWARD,2641,CENTRAL PARK ELEMENTARY SCHOOL,03,134,316,87,7,7,21,35,31
06,BROWARD,2661,PEMBROKE LAKES ELEMENTARY SCHL,03,115,315,90,4,6,30,37,23
06,BROWARD,2671,NOB HILL ELEMENTARY SCHOOL,03,95,302,66,17,17,25,33,8
06,BROWARD,2681,WESTCHESTER ELEMENTARY SCHOOL,03,196,309,78,11,11,27,30,20
06,BROWARD,2691,MORROW ELEMENTARY SCHOOL,03,85,288,41,39,20,21,16,4
06,BROWARD,2721,RAMBLEWOOD ELEMENTARY SCHOOL,03,131,301,59,23,18,25,18,15
06,BROWARD,2741,MAPLEWOOD ELEMENTARY SCHOOL,03,80,300,58,14,29,30,23,5
06,BROWARD,2801,DAVIE ELEMENTARY SCHOOL,03,107,299,57,20,23,28,24,5
06,BROWARD,2811,PINEWOOD ELEMENTARY SCHOOL,03,104,294,50,29,21,17,28,5
06,BROWARD,2851,GRIFFIN ELEMENTARY SCHOOL,03,108,312,81,10,9,25,33,22
06,BROWARD,2861,PINES LAKES ELEMENTARY SCHOOL,03,82,294,46,30,23,23,17,6
06,BROWARD,2871,SEA CASTLE ELEMENTARY SCHOOL,03,123,306,78,10,12,35,35,8
06,BROWARD,2881,WELLEBY ELEMENTARY SCHOOL,03,99,308,79,14,7,27,38,13
06,BROWARD,2891,RIVERGLADES ELEMENTARY SCHOOL,03,203,311,79,8,13,28,27,24
06,BROWARD,2942,EVERGLADES ELEMENTARY SCHOOL,03,177,321,90,5,5,10,42,38
06,BROWARD,2961,CHAPEL TRAIL ELEMENTARY SCHOOL,03,130,306,70,22,8,22,27,22
06,BROWARD,2981,COUNTRY ISLES ELEMENTARY SCHL,03,137,310,82,8,9,26,42,15
06,BROWARD,3031,RIVERSIDE ELEMENTARY SCHOOL,03,126,305,68,23,9,21,29,17
06,BROWARD,3041,CORAL PARK ELEMENTARY SCHOOL,03,73,298,55,29,16,22,19,14
06,BROWARD,3061,SANDPIPER ELEMENTARY SCHOOL,03,93,301,63,23,14,30,19,14
06,BROWARD,3081,SILVER RIDGE ELEMENTARY SCHOOL,03,157,306,71,14,15,27,32,13
06,BROWARD,3091,WINSTON PARK ELEMENTARY SCHOOL,03,173,303,63,22,15,25,24,13
06,BROWARD,3111,COUNTRY HILLS ELEMENTARY SCHL,03,136,309,77,14,9,25,35,17
06,BROWARD,3121,QUIET WATERS ELEMENTARY SCHOOL,03,193,300,56,26,18,17,27,12
06,BROWARD,3131,HAWKES BLUFF ELEMENTARY SCHOOL,03,97,316,90,4,6,24,42,24
06,BROWARD,3171,PARK SPRINGS ELEMENTARY SCHOOL,03,138,309,78,12,9,25,33,20
06,BROWARD,3181,INDIAN TRACE ELEMENTARY SCHOOL,03,133,312,82,4,14,25,41,16
06,BROWARD,3191,EMBASSY CREEK ELEMENTARY SCHOOL,03,226,316,86,4,11,25,32,29
06,BROWARD,3221,CHARLES DREW ELEMENTARY SCHOOL,03,69,289,39,33,28,22,14,3
06,BROWARD,3222,CROSS CREEK SCHOOL,03,2,NA,NA,NA,NA,NA,NA,NA
06,BROWARD,3291,THURGOOD MARSHALL ELEM. SCHOOL,03,35,288,34,43,23,20,9,6
06,BROWARD,3301,ENDEAVOUR PRIMARY LEARNING CENTER,03,61,299,64,23,13,30,30,5
06,BROWARD,3311,PALM COVE ELEMENTARY SCHOOL,03,76,305,75,11,14,41,18,16
06,BROWARD,3321,VIRGINIA SHUMAN YOUNG ELEM,03,105,317,89,7,5,23,38,28
06,BROWARD,3371,SILVER LAKES ELEMENTARY SCHOOL,03,64,303,61,20,19,23,22,16
06,BROWARD,3401,SAWGRASS ELEMENTARY SCHOOL,03,147,307,76,14,11,27,27,21
06,BROWARD,3441,EAGLE RIDGE ELEMENTARY SCHOOL,03,143,308,77,8,15,32,31,14
06,BROWARD,3461,EAGLE POINT ELEMENTARY SCHOOL,03,191,317,86,6,8,18,39,29
06,BROWARD,3481,TRADEWINDS ELEMENTARY SCHOOL,03,178,305,68,16,16,24,25,19
06,BROWARD,3491,SILVER PALMS ELEMENTARY SCHOOL,03,77,313,84,8,8,30,27,27
06,BROWARD,3531,FOX TRAIL ELEMENTARY SCHOOL,03,186,313,84,7,9,27,37,20
06,BROWARD,3571,PANTHER RUN ELEMENTARY SCHOOL,03,72,304,71,15,14,32,25,14
